,Image_File_Paths,Avg EAR,Labels
0,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/Q0435.png,0.2386640094623631,1
1,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/A0021.png,0.2765645759594312,1
2,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/h0475.png,0.2404770963144279,0
3,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/s0305.png,0.2823756351369613,0
4,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/zb0942.png,0.2418685593684353,0
5,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/zc0582.png,0.4302932385801574,0
6,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/A0492.png,0.2220675906115341,1
7,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/v0952.png,0.2515513474794115,0
8,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/Y0463.png,0.3147165788357778,1
9,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/zc0550.png,0.4394483688183711,0
10,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/v0091.png,0.2505762253247628,0
11,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/T0719.png,0.1690685012750887,1
12,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/ZC0601.png,0.4123813690330337,1
13,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/T0175.png,0.1558830713380538,1
14,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/ZB0811.png,0.2797761827977807,1
15,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/K0414.png,0.2794108762203053,1
16,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/j0155.png,0.2633723236555635,0
17,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/L0101.png,0.2387349560809826,1
18,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/A0693.png,0.2107197657787586,1
19,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/ZB0503.png,0.2322523096588659,1
20,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/a1085.png,0.2121490412855299,0
21,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/A0311.png,0.2766762967775001,1
22,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/G0186.png,0.197120686376588,1
23,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/o0674.png,0.3411183226610049,0
24,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/T0314.png,0.1666778792022848,1
25,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/L0199.png,0.2754532865898718,1
26,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/n0686.png,0.267664175567218,0
27,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/U0141.png,0.2846985216074855,1
28,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/V0082.png,0.2538409378661105,1
29,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/y0527.png,0.2748378061273751,0
30,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/x1316.png,0.2464589134638359,0
31,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/Q0452.png,0.2554592239438523,1
32,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/K0478.png,0.2501383869402634,1
33,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/za0094.png,0.2179077873907796,0
34,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/w0660.png,0.3784291158560493,0
35,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/y1495.png,0.2703982503143203,0
36,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/a0151.png,0.2341385257482153,0
37,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/i0550.png,0.1901287246326842,0
38,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/I0571.png,0.2386835795174253,1
39,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/zc0421.png,0.409007623574662,0
40,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/e0332.png,0.4290205262780675,0
41,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/P0751.png,0.1722547934187729,1
42,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/q0478.png,0.2971176850934733,0
43,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/b0122.png,0.342327614020504,0
44,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/q0496.png,0.2859197406620052,0
45,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/k0340.png,0.435418366488239,0
46,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/k0137.png,0.4332094745478211,0
47,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/A0664.png,0.2613072569174353,1
48,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/Y1024.png,0.1790731344165991,1
49,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/Y0276.png,0.1917023678280953,1
50,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/W1147.png,0.2977990880829267,1
51,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/l0076.png,0.3416662179085718,0
52,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/X1542.png,0.1745222544832978,1
53,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/g0027.png,0.3597157369368498,0
54,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/x1380.png,0.1989570201219701,0
55,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/u0140.png,0.3386686731511289,0
56,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/I0609.png,0.247165305696266,1
57,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/W0129.png,0.2957851528680482,1
58,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/za1009.png,0.2222428944979693,0
59,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/zb0488.png,0.2763785682965268,0
60,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/x0399.png,0.177507642844939,0
61,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/Q0316.png,0.2311859795249847,1
62,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/F0241.png,0.4674358194410752,1
63,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/k0077.png,0.4121953374228966,0
64,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/ZB0670.png,0.2429215658563805,1
65,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/Y0584.png,0.2005747521255344,1
66,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/s0493.png,0.2779585287800455,0
67,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/S0032.png,0.2342452722338598,1
68,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/k0018.png,0.3516026893295001,0
69,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/n0149.png,0.243234618632256,0
70,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/x0448.png,0.1952660323810602,0
71,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/F0401.png,0.4409633777336264,1
72,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/J0088.png,0.224451675670341,1
73,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/K0546.png,0.2456705884455007,1
74,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/a1082.png,0.3027423506423734,0
75,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/Y0228.png,0.2047965554845502,1
76,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/A0728.png,0.2091203729552999,1
77,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/j0243.png,0.1572983556948112,0
78,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/X1099.png,0.1963854139771545,1
79,/mnt/c/Users/charu/VS/ViT/DDD/Non Drowsy/i0755.png,0.2131805319400122,0
80,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/A1087.png,0.2692932217766696,1
81,/mnt/c/Users/charu/VS/ViT/DDD/Drowsy/A0070.png,0.2309436814019774,1
